UF,Codigo_IBGE,Ente_Federado,VAAT,Ponderador_DRec,Ponderador_NSE
AM,1301951.0,ITAMARATI,6195.91,1.032668,1.035504
AM,1302009.0,ITAPIRANGA,7154.33,1.03175,1.021347
AM,1302108.0,JAPURA,6339.56,1.032531,1.039508
AM,1302207.0,JURUA (*),6259.8,1.032607,1.034522
AM,1302306.0,JUTAI,5883.24,1.032968,1.032723
AM,1302405.0,LABREA,5779.03,1.033067,1.024178
AM,1302504.0,MANACAPURU,6711.7,1.032174,1.023948
AM,1302553.0,MANAQUIRI,6554.91,1.032324,1.025638
AM,1302603.0,MANAUS,9195.4,1.029796,1.007367
AM,1302702.0,MANICORE,6079.38,1.03278,1.029305
AM,1302801.0,MARAA,6678.49,1.032206,1.036797
AM,1302900.0,MAUES,6775.45,1.032113,1.03262
AM,1303007.0,NHAMUNDA,7041.19,1.031859,1.03912
AM,1303106.0,NOVA OLINDA DO NORTE,6622.98,1.032259,1.035918
AM,1303205.0,NOVO AIRAO,7880.31,1.031055,1.022109
AM,1303304.0,NOVO ARIPUANA,6847.24,1.032045,1.034456
AM,1303403.0,PARINTINS,6709.29,1.032177,1.033388
AM,1303502.0,PAUINI,6672.63,1.032212,1.031653
AM,1303536.0,PRESIDENTE FIGUEIREDO,7818.43,1.031114,1.015345
AM,1303569.0,RIO PRETO DA EVA,6786.91,1.032102,1.021074
AM,1303601.0,SANTA ISABEL DO RIO NEGRO,6132.61,1.032729,1.026913
AM,1303700.0,SANTO ANTONIO DO ICA,5617.72,1.033222,1.046046
AM,1303809.0,SAO GABRIEL DA CACHOEIRA,5583.21,1.033255,1.035837
AM,1303908.0,SAO PAULO DE OLIVENCA,5814.24,1.033034,1.046484
AM,1303957.0,SAO SEBASTIAO DO UATUMA,6462.08,1.032413,1.033641
AM,1304005.0,SILVES,6669.62,1.032215,1.03214
AM,1304062.0,TABATINGA,5675.31,1.033167,1.035677
AM,1304104.0,TAPAUA,6235.18,1.032631,1.030836
AM,1304203.0,TEFE,5810.09,1.033038,1.028834
AM,1304237.0,TONANTINS,6148.87,1.032713,1.039754
AM,1304260.0,UARINI,6366.85,1.032505,1.040525
AM,1304302.0,URUCARA,6510.01,1.032367,1.027417
AM,1304401.0,URUCURITUBA,6931.96,1.031963,1.031699
AP,16.0,GOVERNO DO ESTADO,13501.31,1.025672,1.014488
AP,1600105.0,AMAPA,8972.84,1.030009,1.02141
AP,1600204.0,CALCOENE,0.0,0.965,1.020665
AP,1600212.0,CUTIAS,0.0,0.965,1.023697
AP,1600238.0,FERREIRA GOMES,9540.36,1.029465,1.013354
AP,1600253.0,ITAUBAL,0.0,0.965,1.026173
AP,1600279.0,LARANJAL DO JARI,8851.57,1.030125,1.017589
AP,1600303.0,MACAPA,10433.46,1.02861,1.011375
AP,1600402.0,MAZAGAO,6493.88,1.032383,1.025565
AP,1600501.0,OIAPOQUE,0.0,0.965,1.015973
AP,1600535.0,PORTO GRANDE,8989.16,1.029993,1.019696
AP,1600550.0,PRACUUBA,9156.06,1.029833,1.02539
AP,1600600.0,SANTANA,8804.84,1.03017,1.016968
AP,1600709.0,TARTARUGALZINHO,0.0,0.965,1.024679
AP,1600808.0,VITORIA DO JARI,8572.96,1.030392,1.02219
BA,29.0,GOVERNO DO ESTADO,11385.74,1.027698,1.017927
BA,2900207.0,ABARE,6683.61,1.032201,1.030921
BA,2900306.0,ACAJUTIBA,5139.66,1.03368,1.027896
BA,2900355.0,ADUSTINA,5892.64,1.032959,1.029722
BA,2900405.0,AGUA FRIA,7623.19,1.031301,1.024323
BA,2900504.0,ERICO CARDOSO,6604.42,1.032277,1.02207
BA,2900603.0,AIQUARA,7333.41,1.031579,1.015577
BA,2900702.0,ALAGOINHAS,9944.51,1.029078,1.01621
BA,2900801.0,ALCOBACA,7578.39,1.031344,1.015231
BA,2900900.0,ALMADINA,7495.45,1.031424,1.018351
BA,2901007.0,AMARGOSA,7356.4,1.031557,1.017445
BA,2901106.0,AMELIA RODRIGUES,7858.95,1.031076,1.017113
BA,2901155.0,AMERICA DOURADA,6875.41,1.032018,1.01961
BA,2901205.0,ANAGE,7261.64,1.031648,1.01309
BA,2901304.0,ANDARAI,6944.34,1.031952,1.017788
BA,2901353.0,ANDORINHA,6285.14,1.032583,1.021803
BA,2901403.0,ANGICAL,7494.15,1.031425,1.01714
BA,2901502.0,ANGUERA,4489.49,1.034302,1.021379
BA,2901601.0,ANTAS,5655.32,1.033186,1.019495
BA,2901700.0,ANTONIO CARDOSO,7506.14,1.031414,1.028889
BA,2901809.0,ANTONIO GONCALVES,5885.59,1.032965,1.017883
BA,2901908.0,APORA,7619.82,1.031305,1.024473
BA,2901957.0,APUAREMA,8586.35,1.030379,1.015168
BA,2902005.0,ARACATU,6979.64,1.031918,1.019597
BA,2902054.0,ARACAS,8168.92,1.030779,1.021111
BA,2902203.0,ARAMARI,4629.04,1.034169,1.023026
BA,2902252.0,ARATACA,7292.24,1.031618,1.023892
BA,2902302.0,ARATUIPE,7602.06,1.031322,1.026393
BA,2902401.0,AURELINO LEAL,7070.33,1.031831,1.019675
BA,2902500.0,BAIANOPOLIS,8171.33,1.030776,1.01495
BA,2902609.0,BAIXA GRANDE,7419.62,1.031496,1.024954
BA,2902658.0,BANZAE,5727.88,1.033116,1.017694
